     Index       y_measurement           y_fitting        descriptor_1
         1    0.2979000000E-01   -0.3214969758E-01    0.1634508872E+03
         2    0.3174000000E-01   -0.3207878175E-01    0.1632588877E+03
         3    0.4626000000E-01    0.2449312880E-01    0.1009452863E+02
         4    0.2521000000E-01    0.1891799733E-01    0.2518879414E+02
         5    0.3750000000E-01    0.2357218321E-01    0.1258792227E+02
         6    0.2549000000E-01    0.1568433150E-01    0.3394371067E+02
         7    0.4545000000E-01    0.2472569735E-01    0.9464866108E+01
         8    0.3137000000E-01    0.2223095034E-01    0.1621921331E+02
         9    0.3977000000E-01    0.1312779763E-01    0.4086534135E+02
        10    0.5728000000E-01    0.2559431172E-01    0.7113155459E+01
        11    0.2454000000E-01    0.1790693115E-01    0.2792618277E+02
        12    0.4474000000E-01    0.2523128218E-01    0.8096031723E+01
        13    0.2839000000E-01   -0.9242002198E-02    0.1014299576E+03
        14    0.2746000000E-01    0.2093598805E-01    0.1972523014E+02
        15    0.3702000000E-01    0.2387142696E-01    0.1177774145E+02
        16    0.3489000000E-01    0.7805594327E-02    0.5527482213E+02
        17    0.5609000000E-01    0.2585825921E-01    0.6398536726E+01
        18    0.3035000000E-01    0.1362184188E-01    0.3952775224E+02
        19    0.5502000000E-01    0.2613346504E-01    0.5653436825E+01
        20    0.2515000000E-01    0.1974428727E-01    0.2295167386E+02
        21    0.2830000000E-01    0.1420567048E-01    0.3794707852E+02
        22    0.4414000000E-01    0.2537455978E-01    0.7708117957E+01
        23    0.5407000000E-01    0.2638258318E-01    0.4978967473E+01
        24    0.2709000000E-01    0.4525087095E-02    0.6415655836E+02
        25    0.3112000000E-01    0.2271000233E-01    0.1492221469E+02
        26    0.3664000000E-01    0.2395515161E-01    0.1155106299E+02
        27    0.2577000000E-01    0.1624243392E-01    0.3243268871E+02
        28    0.5323000000E-01    0.2674846334E-01    0.3988373379E+01
        29    0.2735000000E-01    0.2156686329E-01    0.1801718100E+02
        30    0.4362000000E-01    0.2565589212E-01    0.6946430996E+01
        31    0.2467000000E-01    0.1889297122E-01    0.2525655054E+02
        32    0.5250000000E-01    0.2712781800E-01    0.2961298042E+01
        33    0.4057000000E-01    0.1189142067E-01    0.4421274261E+02
        34    0.6586000000E-01    0.2805106313E-01    0.4616785832E+00
        35    0.2943000000E-01   -0.1980185576E-01    0.1300199979E+03
        36    0.3566000000E-01    0.1260823648E-01    0.4227201560E+02
        37    0.6468000000E-01    0.2832695586E-01   -0.2852810288E+00
        38    0.3635000000E-01    0.2471561797E-01    0.9492155292E+01
        39    0.2517000000E-01    0.2047107889E-01    0.2098393808E+02
        40    0.5187000000E-01    0.2763279663E-01    0.1594104920E+01
        41    0.3095000000E-01    0.1591146128E-01    0.3332877322E+02
        42    0.6360000000E-01    0.2853193535E-01   -0.8402481776E+00
        43    0.3106000000E-01    0.2332878062E-01    0.1324691717E+02
        44    0.4321000000E-01    0.2613896732E-01    0.5638539813E+01
        45    0.2868000000E-01    0.1638157149E-01    0.3205598380E+02
        46    0.2690000000E-01    0.2087266783E-02    0.7075678066E+02
        47    0.6264000000E-01    0.2893211360E-01   -0.1923701874E+01
        48    0.2731000000E-01    0.2191003723E-01    0.1708806236E+02
        49    0.2608000000E-01    0.1769979809E-01    0.2848698055E+02
        50    0.5133000000E-01    0.2814173321E-01    0.2161959008E+00
        51    0.6179000000E-01    0.2936473205E-01   -0.3094985062E+01
        52    0.3613000000E-01    0.2521765890E-01    0.8132915748E+01
        53    0.4288000000E-01    0.2666806009E-01    0.4206059364E+01
        54    0.2487000000E-01    0.1945166211E-01    0.2374393533E+02
        55    0.6103000000E-01    0.2962374561E-01   -0.3796245553E+01
        56    0.3096000000E-01    0.2376331477E-01    0.1207044738E+02
        57    0.2853000000E-01   -0.5153413867E-02    0.9036040020E+02
        58    0.5089000000E-01    0.2843340515E-01   -0.5734847836E+00
        59    0.2524000000E-01    0.2088406851E-01    0.1986579853E+02
        60    0.6040000000E-01    0.2989665046E-01   -0.4535115701E+01
        61    0.4131000000E-01    0.9976770014E-02    0.4939652088E+02
        62    0.7463000000E-01    0.3056417002E-01   -0.6342376682E+01
        63    0.3629000000E-01    0.1413237822E-01    0.3814551200E+02
        64    0.7350000000E-01    0.3082131203E-01   -0.7038570081E+01
        65    0.3146000000E-01    0.1680874948E-01    0.3089943025E+02
        66    0.7248000000E-01    0.3107170022E-01   -0.7716478004E+01
        67    0.4264000000E-01    0.2733397814E-01    0.2403134375E+01
        68    0.2689000000E-01    0.4661066189E-02    0.6378840479E+02
        69    0.2731000000E-01    0.2239340141E-01    0.1577938878E+02
        70    0.5984000000E-01    0.3025171375E-01   -0.5496423920E+01
        71    0.2916000000E-01    0.1730118630E-01    0.2956619315E+02
        72    0.3598000000E-01    0.2577425330E-01    0.6625976650E+01
        73    0.5053000000E-01    0.2909747823E-01   -0.2371414658E+01
        74    0.7155000000E-01    0.3129946650E-01   -0.8333138742E+01
        75    0.2643000000E-01    0.1838113615E-01    0.2664230698E+02
        76    0.7071000000E-01    0.3155706223E-01   -0.9030560565E+01
        77    0.3093000000E-01    0.2433767624E-01    0.1051540521E+02
        78    0.5937000000E-01    0.3068160728E-01   -0.6660329583E+01
        79    0.3266000000E-01   -0.2313049948E-01    0.1390320602E+03
        80    0.2507000000E-01    0.1983708929E-01    0.2270041910E+02
        81    0.6997000000E-01    0.3186666923E-01   -0.9868799155E+01
        82    0.4246000000E-01    0.2805236542E-01    0.4581527466E+00
        83    0.5025000000E-01    0.2962309324E-01   -0.3794479319E+01
        84    0.2535000000E-01    0.2150463601E-01    0.1818565688E+02
        85    0.6932000000E-01    0.3217334167E-01   -0.1069909262E+02
        86    0.3604000000E-01    0.2635227239E-01    0.5061031742E+01
        87    0.5899000000E-01    0.3114742248E-01   -0.7921490572E+01
        88    0.2735000000E-01    0.2291693311E-01    0.1436196454E+02
        89    0.6876000000E-01    0.3241858348E-01   -0.1136306710E+02
        90    0.2652000000E-01    0.6061765006E-02    0.5999611398E+02
        91    0.4185000000E-01    0.1386219482E-01    0.3887701405E+02
        92    0.8294000000E-01    0.3302482771E-01   -0.1300442954E+02
        93    0.3673000000E-01    0.1679078186E-01    0.3094807628E+02
        94    0.8195000000E-01    0.3310090159E-01   -0.1321039406E+02
        95    0.3200000000E-01    0.1726231485E-01    0.2967143481E+02
        96    0.5004000000E-01    0.2998586796E-01   -0.4776665643E+01
        97    0.8104000000E-01    0.3317148240E-01   -0.1340148651E+02
        98    0.2952000000E-01    0.1728039520E-01    0.2962248357E+02
        99    0.8020000000E-01    0.3326805109E-01   -0.1366293924E+02
       100    0.4235000000E-01    0.2838065911E-01   -0.4306787051E+00
       101    0.2992000000E-01   -0.1076978758E-01    0.1055663261E+03
