     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2979000000E-01    0.2495032391E-01   -0.5196116982E+02   -0.2119504458E+01
         2    0.3174000000E-01    0.2481438797E-01   -0.5061539973E+02   -0.1562154231E+01
         3    0.4626000000E-01    0.3170946537E-01   -0.6237541752E+02   -0.3957634925E+01
         4    0.2521000000E-01    0.2132310612E-01   -0.5987595862E+02   -0.7317044563E+01
         5    0.3750000000E-01    0.2872232088E-01   -0.6171981929E+02   -0.4952776829E+01
         6    0.2549000000E-01    0.1785736955E-01   -0.5897144785E+02   -0.8405737719E+01
         7    0.4545000000E-01    0.3143109778E-01   -0.6258691347E+02   -0.4175204101E+01
         8    0.3137000000E-01    0.2629651345E-01   -0.6107204012E+02   -0.5708075753E+01
         9    0.3977000000E-01    0.3137701872E-01   -0.6345665805E+02   -0.4596957214E+01
        10    0.5728000000E-01    0.3681262287E-01   -0.6509463793E+02   -0.2989925306E+01
        11    0.2454000000E-01    0.2051854927E-01   -0.5998986088E+02   -0.7718102354E+01
        12    0.4474000000E-01    0.3155564398E-01   -0.6305296915E+02   -0.4334626041E+01
        13    0.2839000000E-01    0.1608363330E-01   -0.5513872448E+02   -0.7419712786E+01
        14    0.2746000000E-01    0.2418028498E-01   -0.6067902493E+02   -0.6445795617E+01
        15    0.3702000000E-01    0.2900405898E-01   -0.6200617318E+02   -0.4961737635E+01
        16    0.3489000000E-01    0.1256827928E-01   -0.5527674677E+02   -0.9007353206E+01
        17    0.5609000000E-01    0.3630930923E-01   -0.6528222593E+02   -0.3294093594E+01
        18    0.3035000000E-01    0.2064653735E-01   -0.6187593353E+02   -0.8526332101E+01
        19    0.5502000000E-01    0.3589183185E-01   -0.6547702893E+02   -0.3564343128E+01
        20    0.2515000000E-01    0.2275100437E-01   -0.6053861885E+02   -0.7001303627E+01
        21    0.2830000000E-01    0.1564412630E-01   -0.5768327610E+02   -0.8775588812E+01
        22    0.4414000000E-01    0.3149614965E-01   -0.6323139527E+02   -0.4442136441E+01
        23    0.5407000000E-01    0.3555239557E-01   -0.6566312336E+02   -0.3796762042E+01
        24    0.2709000000E-01    0.1732640096E-01   -0.5885767356E+02   -0.8583888947E+01
        25    0.3112000000E-01    0.2717052000E-01   -0.6148190415E+02   -0.5516761212E+01
        26    0.3664000000E-01    0.2925652609E-01   -0.6210755738E+02   -0.4898684457E+01
        27    0.2577000000E-01    0.1890906618E-01   -0.5915684491E+02   -0.8034572683E+01
        28    0.5323000000E-01    0.3541789906E-01   -0.6596228542E+02   -0.3992088456E+01
        29    0.2735000000E-01    0.2532717685E-01   -0.6118188255E+02   -0.6178731051E+01
        30    0.4362000000E-01    0.3168336653E-01   -0.6351572107E+02   -0.4491157591E+01
        31    0.2467000000E-01    0.2208246421E-01   -0.6059865262E+02   -0.7318708588E+01
        32    0.5250000000E-01    0.3540056967E-01   -0.6628478499E+02   -0.4147292840E+01
        33    0.4057000000E-01    0.2532197580E-01   -0.6221865993E+02   -0.6655781317E+01
        34    0.6586000000E-01    0.3937972193E-01   -0.6753174012E+02   -0.2992780310E+01
        35    0.2943000000E-01    0.1517554697E-01   -0.5266354836E+02   -0.6679991101E+01
        36    0.3566000000E-01    0.2311446098E-01   -0.6301029957E+02   -0.7975603186E+01
        37    0.6468000000E-01    0.3895195965E-01   -0.6771126417E+02   -0.3260492852E+01
        38    0.3635000000E-01    0.3026995296E-01   -0.6275093778E+02   -0.4753849732E+01
        39    0.2517000000E-01    0.2418255409E-01   -0.6112928202E+02   -0.6651007998E+01
        40    0.5187000000E-01    0.3560832710E-01   -0.6672425286E+02   -0.4258454288E+01
        41    0.3095000000E-01    0.2080980452E-01   -0.6067793930E+02   -0.7906906815E+01
        42    0.6360000000E-01    0.3852157416E-01   -0.6783917340E+02   -0.3505705815E+01
        43    0.3106000000E-01    0.2833756025E-01   -0.6197778490E+02   -0.5237764226E+01
        44    0.4321000000E-01    0.3217632439E-01   -0.6396867510E+02   -0.4484817935E+01
        45    0.2868000000E-01    0.2103173021E-01   -0.6014038639E+02   -0.7564495051E+01
        46    0.2690000000E-01    0.1401854051E-01   -0.5796572983E+02   -0.9609874256E+01
        47    0.6264000000E-01    0.3835869096E-01   -0.6814942385E+02   -0.3718420075E+01
        48    0.2731000000E-01    0.2639365468E-01   -0.6142754186E+02   -0.5828753399E+01
        49    0.2608000000E-01    0.2166731300E-01   -0.6040671020E+02   -0.7410838331E+01
        50    0.5133000000E-01    0.3590759447E-01   -0.6717960315E+02   -0.4337205858E+01
        51    0.6179000000E-01    0.3832383958E-01   -0.6851229124E+02   -0.3899709413E+01
        52    0.3613000000E-01    0.3117352531E-01   -0.6317411265E+02   -0.4555809718E+01
        53    0.4288000000E-01    0.3280857425E-01   -0.6448244869E+02   -0.4445926796E+01
        54    0.2487000000E-01    0.2303259644E-01   -0.6066075221E+02   -0.6935122551E+01
        55    0.6103000000E-01    0.3820859410E-01   -0.6874532109E+02   -0.4056402208E+01
        56    0.3096000000E-01    0.2952136742E-01   -0.6230044296E+02   -0.4872168495E+01
        57    0.2853000000E-01    0.1500926417E-01   -0.5629266752E+02   -0.8414063951E+01
        58    0.5089000000E-01    0.3612079565E-01   -0.6749080396E+02   -0.4387266399E+01
        59    0.2524000000E-01    0.2530961393E-01   -0.6132220548E+02   -0.6250608451E+01
        60    0.6040000000E-01    0.3818828880E-01   -0.6899475151E+02   -0.4179434895E+01
        61    0.4131000000E-01    0.1008397707E-01   -0.5635001139E+02   -0.1057617476E+02
        62    0.7463000000E-01    0.4177633839E-01   -0.6977967996E+02   -0.2982937687E+01
        63    0.3629000000E-01    0.1801479177E-01   -0.5765474831E+02   -0.7734485699E+01
        64    0.7350000000E-01    0.4143551522E-01   -0.6995813940E+02   -0.3212461558E+01
        65    0.3146000000E-01    0.2551158514E-01   -0.6240132433E+02   -0.6657208881E+01
        66    0.7248000000E-01    0.4113685891E-01   -0.7014480840E+02   -0.3427459365E+01
        67    0.4264000000E-01    0.3365751938E-01   -0.6513397336E+02   -0.4376149239E+01
        68    0.2689000000E-01    0.1311779863E-01   -0.5728557869E+02   -0.9689003900E+01
        69    0.2731000000E-01    0.2782396390E-01   -0.6179288415E+02   -0.5375809439E+01
        70    0.5984000000E-01    0.3831926576E-01   -0.6932287356E+02   -0.4272901079E+01
        71    0.2916000000E-01    0.2569697643E-01   -0.6243588313E+02   -0.6592640266E+01
        72    0.3598000000E-01    0.3220314474E-01   -0.6364161904E+02   -0.4323411139E+01
        73    0.5053000000E-01    0.3676550251E-01   -0.6814580077E+02   -0.4407646817E+01
        74    0.7155000000E-01    0.4087438172E-01   -0.7031896448E+02   -0.3621037781E+01
        75    0.2643000000E-01    0.2370811202E-01   -0.6090155001E+02   -0.6752459281E+01
        76    0.7071000000E-01    0.4070188340E-01   -0.7052204047E+02   -0.3788840819E+01
        77    0.3093000000E-01    0.3099547126E-01   -0.6273454616E+02   -0.4431722243E+01
        78    0.5937000000E-01    0.3856740439E-01   -0.6972884534E+02   -0.4351211608E+01
        79    0.3266000000E-01    0.1936206697E-01   -0.5215470682E+02   -0.4631482034E+01
        80    0.2507000000E-01    0.2445442334E-01   -0.6087361299E+02   -0.6416027656E+01
        81    0.6997000000E-01    0.4063759644E-01   -0.7077476154E+02   -0.3932453105E+01
        82    0.4246000000E-01    0.3462851656E-01   -0.6587299508E+02   -0.4293513325E+01
        83    0.5025000000E-01    0.3733824965E-01   -0.6871719416E+02   -0.4420946157E+01
        84    0.2535000000E-01    0.2684993370E-01   -0.6166185744E+02   -0.5738193483E+01
        85    0.6932000000E-01    0.4062216635E-01   -0.7103688507E+02   -0.4059184498E+01
        86    0.3604000000E-01    0.3330168411E-01   -0.6414582647E+02   -0.4077932777E+01
        87    0.5899000000E-01    0.3890066210E-01   -0.7018116833E+02   -0.4413836912E+01
        88    0.2735000000E-01    0.2949588230E-01   -0.6217783016E+02   -0.4827069271E+01
        89    0.6876000000E-01    0.4060751375E-01   -0.7126282937E+02   -0.4169010360E+01
        90    0.2652000000E-01    0.1393670079E-01   -0.5800802283E+02   -0.9664732228E+01
        91    0.4185000000E-01    0.2402041413E-01   -0.6228823223E+02   -0.7252064158E+01
        92    0.8294000000E-01    0.4421470147E-01   -0.7200059592E+02   -0.2942615993E+01
        93    0.3673000000E-01    0.2512548640E-01   -0.6083005221E+02   -0.6105072486E+01
        94    0.8195000000E-01    0.4383373565E-01   -0.7204396360E+02   -0.3127682104E+01
        95    0.3200000000E-01    0.2807590803E-01   -0.6327600071E+02   -0.5945750899E+01
        96    0.5004000000E-01    0.3778629321E-01   -0.6915158687E+02   -0.4425583375E+01
        97    0.8104000000E-01    0.4348547780E-01   -0.7209659462E+02   -0.3302806581E+01
        98    0.2952000000E-01    0.2464933175E-01   -0.5987301914E+02   -0.5873281156E+01
        99    0.8020000000E-01    0.4319564000E-01   -0.7217699979E+02   -0.3465316453E+01
       100    0.4235000000E-01    0.3536446547E-01   -0.6642204955E+02   -0.4225810079E+01
       101    0.2992000000E-01    0.1458611830E-01   -0.5465460298E+02   -0.7847405279E+01
       102    0.5868000000E-01    0.3912226650E-01   -0.7048882168E+02   -0.4458628831E+01
