name    target    f1    f2    f3    f4    f5    f6    iz1    iz2    iz3    iz4    iz5    iz6
bridge-10-1    0.02979    -698.29137    -624.26318    -107.18049    -40.28312    380.49434    2797.43962    0.03458    0.70183    0.03567    0.09258    1.15987    62.33015
bridge-10-10    0.03174    -697.45529    -622.8788    -94.55658    34.51924    378.624    2802.55041    0.02238    0.60093    0.03563    0.10689    1.13399    61.91824
bridge-10-100    0.04626    -684.62093    -652.89018    25.0476    51.35285    178.9606    2813.13818    0.24698    0.40783    0.00153    0.01809    0.07973    229.52963
bridge-10-101    0.02521    -692.65933    -648.61227    34.00518    69.9153    201.46648    2809.53404    0.01562    0.01515    0.0298    0.04966    0.36995    171.78627
bridge-10-102    0.0375    -688.36304    -650.42935    34.13608    57.39443    183.79785    2812.92991    0.14905    0.14229    0.00473    0.03104    0.13465    218.5736
bridge-10-103    0.02549    -696.9711    -652.73181    28.81185    75.37622    214.56321    2806.71176    3.90E-05    0.11637    0.04623    0.05109    0.53092    134.80822
bridge-10-104    0.04545    -686.14788    -652.0082    24.70068    52.71199    178.95524    2812.76325    0.28462    0.37817    0.0021    0.01861    0.08588    228.99746
bridge-10-105    0.03137    -690.40674    -650.50703    37.05781    61.68202    189.31704    2811.19145    0.0763    0.03434    0.01266    0.03856    0.20951    204.35174
bridge-10-106    0.03977    -708.01966    -675.59736    -49.56963    56.82279    230.37306    2801.60639    0.03363    0.23398    0.0481    0.02952    0.71467    59.31166
bridge-10-107    0.05728    -684.4497    -659.49316    -19.37539    44.81918    175.12768    2817.02008    0.49335    0.82473    0.0038    0.00891    0.05651    232.43907
bridge-10-108    0.02454    -696.30619    -651.00083    27.69075    72.01144    206.83947    2807.22013    0.00174    0.0437    0.0373    0.04639    0.45925    153.01571
bridge-10-109    0.04474    -689.75133    -651.47096    24.30392    53.68856    179.00241    2813.43778    0.30095    0.3585    0.00274    0.01909    0.09282    228.10837
